Seitennummer;Fachbereich_manuell;Bezeichnung_Dienstleistung_manuell;Produkt_Nr;Produkt_Bez;Bezirk_Nr;Bezirk_Bez_kurz_manuell;Bezirk_Bez_manuell;Bezirk_Bez_lang_manuell;Median_2017;Stückkosten_2017;korr_Mengen_2017;Median_2018;Stückkosten_2018;korr_Mengen_2018;rel_Abw_zum_VJ
Seite 80;Bauen, Wohnen, Vermessen und Verkehr;die Bearbeitung eines Wohngeldantrages;61541;Wohngeld            ;31;Mi;Mitte;Mitte;210,48;160,65;6.273;211,83;211,92;4.460;31,91
Seite 80;Bauen, Wohnen, Vermessen und Verkehr;die Bearbeitung eines Wohngeldantrages;61541;Wohngeld            ;32;FK;Friedrh.-Kreuzb.;Friedrichshain-Kreuzberg;210,48;174,69;4.223;211,83;188,35;4.403;7,82
Seite 80;Bauen, Wohnen, Vermessen und Verkehr;die Bearbeitung eines Wohngeldantrages;61541;Wohngeld            ;33;Pa;Pankow;Pankow;210,48;230,80;5.905;211,83;211,74;6.358;-8,25
Seite 80;Bauen, Wohnen, Vermessen und Verkehr;die Bearbeitung eines Wohngeldantrages;61541;Wohngeld            ;34;CW;Charlb.-Wilmd.;Charlottenburg-Wilmersdorf;210,48;201,17;4.164;211,83;200,55;3.984;-0,31
Seite 80;Bauen, Wohnen, Vermessen und Verkehr;die Bearbeitung eines Wohngeldantrages;61541;Wohngeld            ;35;Sp;Spandau;Spandau;210,48;201,11;4.451;211,83;179,93;4.910;-10,53
Seite 80;Bauen, Wohnen, Vermessen und Verkehr;die Bearbeitung eines Wohngeldantrages;61541;Wohngeld            ;36;SZ;Steglitz-Zehlend.;Steglitz-Zehlendorf;210,48;243,37;3.378;211,83;265,62;2.976;9,14
Seite 80;Bauen, Wohnen, Vermessen und Verkehr;die Bearbeitung eines Wohngeldantrages;61541;Wohngeld            ;37;TS;Temph.-Schöneb.;Tempelhof-Schöneberg;210,48;225,29;4.867;211,83;229,86;4.523;2,03
Seite 80;Bauen, Wohnen, Vermessen und Verkehr;die Bearbeitung eines Wohngeldantrages;61541;Wohngeld            ;38;Nk;Neukölln;Neukölln;210,48;219,78;6.177;211,83;275,14;4.976;25,19
Seite 80;Bauen, Wohnen, Vermessen und Verkehr;die Bearbeitung eines Wohngeldantrages;61541;Wohngeld            ;39;TK;Treptow-Köpenick;Treptow-Köpenick;210,48;234,06;3.989;211,83;218,29;4.000;-6,74
Seite 80;Bauen, Wohnen, Vermessen und Verkehr;die Bearbeitung eines Wohngeldantrages;61541;Wohngeld            ;40;MH;Marzahn-Hellersd.;Marzahn-Hellersdorf;210,48;219,85;5.488;211,83;196,57;5.657;-10,59
Seite 80;Bauen, Wohnen, Vermessen und Verkehr;die Bearbeitung eines Wohngeldantrages;61541;Wohngeld            ;41;Li;Lichtenberg;Lichtenberg;210,48;181,22;6.327;211,83;256,15;5.187;41,35
Seite 80;Bauen, Wohnen, Vermessen und Verkehr;die Bearbeitung eines Wohngeldantrages;61541;Wohngeld            ;42;Rdf;Reinickendorf;Reinickendorf;210,48;171,94;3.918;211,83;186,52;3.807;8,48
Seite 80;Bauen, Wohnen, Vermessen und Verkehr;die Bearbeitung eines Wohngeldantrages;61541;Wohngeld            ;0;Mittelwert/Summe;Mittelwert/Summe;Mittelwert/Summe;210,48;210,48;59.160;211,83;211,83;55.241;0,64
Seite 84;Bauen, Wohnen, Vermessen und Verkehr;die Beseitigung einer Gefahrenstelle im öffentlichen Straßenland;78783;Maengelbes Str-TBA  ;31;Mi;Mitte;Mitte;44,55;43,89;29.762;44,33;43,40;32.397;-1,11
Seite 84;Bauen, Wohnen, Vermessen und Verkehr;die Beseitigung einer Gefahrenstelle im öffentlichen Straßenland;78783;Maengelbes Str-TBA  ;32;FK;Friedrh.-Kreuzb.;Friedrichshain-Kreuzberg;44,55;42,37;18.198;44,33;50,10;22.550;18,25
Seite 84;Bauen, Wohnen, Vermessen und Verkehr;die Beseitigung einer Gefahrenstelle im öffentlichen Straßenland;78783;Maengelbes Str-TBA  ;33;Pa;Pankow;Pankow;44,55;43,46;41.270;44,33;42,64;47.207;-1,88
Seite 84;Bauen, Wohnen, Vermessen und Verkehr;die Beseitigung einer Gefahrenstelle im öffentlichen Straßenland;78783;Maengelbes Str-TBA  ;34;CW;Charlb.-Wilmd.;Charlottenburg-Wilmersdorf;44,55;45,43;36.592;44,33;43,85;45.390;-3,49
Seite 84;Bauen, Wohnen, Vermessen und Verkehr;die Beseitigung einer Gefahrenstelle im öffentlichen Straßenland;78783;Maengelbes Str-TBA  ;35;Sp;Spandau;Spandau;44,55;44,45;16.656;44,33;44,82;16.876;0,84
Seite 84;Bauen, Wohnen, Vermessen und Verkehr;die Beseitigung einer Gefahrenstelle im öffentlichen Straßenland;78783;Maengelbes Str-TBA  ;36;SZ;Steglitz-Zehlend.;Steglitz-Zehlendorf;44,55;46,04;39.927;44,33;48,19;32.517;4,68
Seite 84;Bauen, Wohnen, Vermessen und Verkehr;die Beseitigung einer Gefahrenstelle im öffentlichen Straßenland;78783;Maengelbes Str-TBA  ;37;TS;Temph.-Schöneb.;Tempelhof-Schöneberg;44,55;50,77;35.550;44,33;41,13;47.437;-18,99
